sku,category,name,url,price,upc,shipping,model,manufacturer,type,image,description
1005894,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - 3 RPM Mirror Ball Motor,http://www.bestbuy.com/site/american-dj-3-rpm-mirror-ball-motor/1005894.p?id=1218207311613&skuId=1005894CC,14.99,640282034609,5.49,M-HDAC8,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005894_sa.jpg,"From our expanded online assortment; AC motor; 3 rpm; holds mirror balls up to 12"""
1005903,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - LED Color Panel - Black,http://www.bestbuy.com/site/american-dj-led-color-panel-black/1005903.p?id=1218207315201&skuId=1005903CC,199.99,640282001359,0,Profile Panel RGB,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/pac/products/1306/1306786803/1306786803_sa.jpg,From our expanded online assortment; 288 LEDs; 7 DMX channel modes; 4 operational modes; strobe and dimming effects
1005912,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - 1 RPM Mirror Ball Motor,http://www.bestbuy.com/site/american-dj-1-rpm-mirror-ball-motor/1005912.p?id=1218207308006&skuId=1005912CC,14.99,640282034005,5.49,M-1-RPM,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005912_sa.jpg,"From our expanded online assortment; AC motor; 1 rpm; holds mirror balls up to 16"""
1005985,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - Chase Controller Pack,http://www.bestbuy.com/site/american-dj-chase-controller-pack/1005985.p?id=1218207316314&skuId=1005985&cmp=RMXCC,99.99,640282000093,0,T20F,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005985_rc.jpg,From our expanded online assortment; designed to chase LED and halogen par cans; 20 built-in programs; 7 preset scenes
1006029,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - Par Can Kit - Black,http://www.bestbuy.com/site/american-dj-par-can-kit-black/1006029.p?id=1218207302854&skuId=1006029CC,54.99,640282010139,0,64 Combo Black,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1006/1006029_sa.jpg,"From our expanded online assortment; ideal for theaters, mobile entertainment and bands; 4 color gel filters; safety cable"
1006038,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'abcat0208024', u'name': u'Musical Instrument Accessories'}, {u'id': u'pcmcat152100050033', u'name': u'DJ Equipment Accessories'}]",American DJ - 8-Channel Switch Center,http://www.bestbuy.com/site/american-dj-8-channel-switch-center/1006038.p?id=1218207312804&skuId=1006038CC,99.99,640282048293,0,SC8 SYSTEM,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1006/1006038_sa.jpg,From our expanded online assortment; built-in power supply; 8 channels
1006046,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'abcat0207005', u'name': u'Karaoke'}, {u'id': u'pcmcat251600050000', u'name': u'Karaoke Machines'}]",VocoPro - TabletOke Digital Karaoke Mixer - Black/Gray,http://www.bestbuy.com/site/vocopro-tabletoke-digital-karaoke-mixer-black-gray/1006046.p?id=1219460765652&skuId=1006046&cmp=RMXCC,149.99,692868822537,0,TABLETOKE,VocoPro,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1006/1006046_sa.jpg,"VOCOPRO TabletOke Digital Karaoke Mixer: Built-in Bluetooth music receiver; compatible with select smartphones, tablets and laptops with a 3.5mm (1/8"") jack; connects to karaoke player for CDG or DVD disc playback"
1006065,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - 1 Gal. Bubble Juice,http://www.bestbuy.com/site/american-dj-1-gal-bubble-juice/1006065.p?id=1218207315613&skuId=1006065CC,19.99,640282013031,9.99,Bub/G,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1006/1006065_sa.jpg,From our expanded online assortment; designed for use in bubble machines; colorless; 1 gal.
1006126,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050028', u'name': u'DJ CD Players'}]",American Audio - Radius 3000 MIDI Controller - Black,http://www.bestbuy.com/site/american-audio-radius-3000-midi-controller-black/1006126.p?id=1218207305296&skuId=1006126CC,399.99,640282000963,0,Radius 3000,American Audio,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1006/1006126_sa.jpg,"From our expanded online assortment; plays MP3, WAV, CD and CD-R formats; media card slot; USB port; PowerTouch digital scratching; 9 on-board effects"
1006144,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'abcat0208024', u'name': u'Musical Instrument Accessories'}, {u'id': u'pcmcat152100050033', u'name': u'DJ Equipment Accessories'}]",American DJ - 2' Safety Cable - Silver,http://www.bestbuy.com/site/american-dj-2-safety-cable-silver/1006144.p?id=1218207315886&skuId=1006144CC,11.99,640282091893,5.49,Scable 60,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1006/1006144_sa.jpg,Secures DJ light fixtures to a truss or pipe; steel construction; 60 lb. weight rating
1006199,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050020', u'name': u'Recording Equipment'}, {u'id': u'pcmcat205700050037', u'name': u'Recording Furniture & Stands'}, {u'id': u'pcmcat251600050005', u'name': u'Recording & Music Stands'}]",American DJ - Crank-2 Mobile Stand System - Black,http://www.bestbuy.com/site/american-dj-crank-2-mobile-stand-system-black/1006199.p?id=1218207305427&skuId=1006199CC,119.99,640282015417,0,Crank 2,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1006/1006199_sa.jpg,From our expanded online assortment; raises equipment up to 10'; steel tripod stand; steel truss sections
1006435,"[{u'id': u'abcat0500000', u'name': u'Computers & Tablets'}, {u'id': u'abcat0515000', u'name': u'Computer Accessories & Peripherals'}, {u'id': u'abcat0515042', u'name': u'Surge Protectors & Power'}, {u'id': u'abcat0515043', u'name': u'Battery Backup (UPS)'}]",CyberPower - 700VA Smart App Series Battery Back-Up System - Black,http://www.bestbuy.com/site/cyberpower-700va-smart-app-series-battery-back-up-system-black/1006435.p?id=1218207313830&skuId=1006435&cmp=RMXCC,225.99,649532715046,0,OR700LCDRM1U,CyberPower,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1006/1006435_sa.jpg,"CYBERPOWER 700VA Smart App Series Battery Back-Up System: 1030 joules of protection; 6 outlets, including 4 battery- and surge-protected outlets; phone/network line protection; front-panel LCD; 10' cord"
1007009,"[{u'id': u'abcat0700000', u'name': u'Video Games'}, {u'id': u'pcmcat232900050017', u'name': u'Pre-Owned Games'}]",Fantasy Life - PRE-OWNED - Nintendo 3DS,http://www.bestbuy.com/site/fantasy-life-pre-owned-nintendo-3ds/1007009.p?id=1219460752592&skuId=1007009&cmp=RMXCC,9.99,799007840268,3.99,PREOWNED,Nintendo,Game,http://img.bbystatic.com/BestBuy_US/images/products/1007/1007009_sa.jpg,Choose your fate as you journey through a fascinating land on the adventure of a lifetime
1007107,"[{u'id': u'abcat0300000', u'name': u'Car Electronics & GPS'}, {u'id': u'abcat0302000', u'name': u'Car Audio'}, {u'id': u'abcat0302001', u'name': u'Car Amplifiers'}, {u'id': u'abcat0302002', u'name': u'2-Channel Amps'}]",Polk Audio - 300W Class AB Bridgeable 2-Channel MOSFET Amplifier with Switchable Bass Boost - Black,http://www.bestbuy.com/site/polk-audio-300w-class-ab-bridgeable-2-channel-mosfet-amplifier-with-switchable-bass-boost-black/1007107.p?id=1218207655270&skuId=1007107CC,189.99,747192120702,0,PA330,Polk Audio,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1007/1007107_sa.jpg,Selectable high or low-pass crossover; variable input gain; switchable 3-position bass boost
1008008,"[{u'id': u'abcat0700000', u'name': u'Video Games'}, {u'id': u'pcmcat232900050017', u'name': u'Pre-Owned Games'}]",Power Rangers: Super Megaforce - PRE-OWNED - Nintendo 3DS,http://www.bestbuy.com/site/power-rangers-super-megaforce-pre-owned-nintendo-3ds/1008008.p?id=1219482739482&skuId=1008008&cmp=RMXCC,9.99,799007840275,3.99,PREOWNED,Namco,Game,http://img.bbystatic.com/BestBuy_US/images/products/1008/1008008_sa.jpg,Harness the powers of legendary Rangers to save Earth from an alien invasion
1008728,"[{u'id': u'pcmcat312300050015', u'name': u'Connected Home & Housewares'}, {u'id': u'abcat0805000', u'name': u'Office Electronics'}, {u'id': u'pcmcat193100050011', u'name': u'Digital Pens & Accessories'}]","Livescribe - Deluxe Carrying Case for Pen, Accessories",http://www.bestbuy.com/site/livescribe-deluxe-carrying-case-for-pen-accessories/1008728.p?id=1218207656500&skuId=1008728&cmp=RMXCC,24.99,892515002026,,AAA-00015,Livescribe,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1008/1008728_sa.jpg,Leather
